prenom,genre,signification,origine
AABRAHAM,m,form of ABRAHAM.,[Finnish (Rare)]
AADOLF,m,form of ADOLF.,[Finnish]
AAGE,m,form of ÁKI.,"[Danish, Norwegian]"
AALIS,f,form of ALICE.,[Medieval French]
AAMINA,f,AAMINA   f   ArabicVariant transcription of AMINAH  (1).,[Arabic]
'AAMIR,m,"Means ""prosperous, substantial"" in Arabic.",[Arabic]
AAMU,f,"Means ""morning"" in Finnish.",[Finnish]
AAPO,m,form of ABRAHAM.,[Finnish]
AARNE,m,form of ARNE  (1).,[Finnish]
AARON,m,"From the Hebrew name אַהֲרֹן ('Aharon) which is most likely of unknown Egyptian origin. Other theories claim a Hebrew derivation, and suggest meanings such as ""high mountain"" or ""exalted"". In the Old Testament this name is borne by the older brother of Moses. He acted as a spokesman for his brother when they appealed to the pharaoh to release the Israelites from slavery. Aaron's rod produced miracles and plagues to intimidate the pharaoh. After the departure from Egypt and arrival at Mount Sinai, God installed Aaron as the first high priest of the Israelites and promised that his descendants would form the priesthood.... [more]","[English, Jewish, Biblical, Biblical Latin, Biblical Greek]"
AARTHI,f,form of AARTI.,[Tamil]
AATAMI,m,form of ADAM.,[Finnish]
AATTO,m,"form of ADOLF. It also means ""eve, evening before"" in Finnish, as the day before an important holiday.",[Finnish]
AAVA,f,"Means ""wide, open"" in Finnish.",[Finnish]
ABADDON,m,"Means ""ruin, destruction"" in Hebrew. In Revelation in the New Testament this is another name of the angel of the abyss.",[Biblical]
'ABBAS,m,"'ABBAS   m   Arabic, PersianVariant transcription of ABBAS.","[Arabic, Persian]"
ABBE,m,"short form of Germanic names beginning with the element adal meaning ""noble"".",[Frisian]
ABBI,f,ABBI   f   EnglishDiminutive of ABIGAIL.,[English]
ABBY,f,ABBY   f   EnglishDiminutive of ABIGAIL.,[English]
ABD AL-HAMID,m,"Means ""servant of the praised"" from Arabic عبد ال ('abd al) ""servant of the"" combined with حميد (hamid) ""praised"". This was the name of two sultans of the Ottoman Empire.",[Arabic]
ABD AL-KARIM,m,"Means ""servant of the generous"" from Arabic عبد ال ('abd al) ""servant of the"" combined with كريم (karim) ""generous"".",[Arabic]
ABD AL-LATIF,m,"Means ""servant of the gentle"" from Arabic عبد ال ('abd al) ""servant of the"" combined with لطيف (latif) ""gentle"".",[Arabic]
ABD AL-QADIR,m,"Means ""servant of the capable, powerful"" from Arabic عبد ال ('abd al) ""servant of the"" combined with قادر (qadir) ""capable"". This was the name of a 19th-century Algerian resistance leader.",[Arabic]
ABD AL-RASHID,m,"Means ""servant of the rightly guided"" from Arabic عبد ال ('abd al) ""servant of the"" combined with رشد (rashid) ""rightly guided"".",[Arabic]
ABDIAS,m,Form of OBADIAH used in the Latin Old Testament.,[Biblical Latin]
ABDOLLAH,m,form of ABD ALLAH.,[Persian]
ABDULAH,m,form of ABD ALLAH.,[Bosnian]
ABDUL-HAMID,m,ABDUL-HAMID   m   ArabicVariant transcription of ABD AL-HAMID.,[Arabic]
ABDÜLKADİR,m,form of ABD AL-QADIR.,[Turkish]
ABDULLAH,m,"ABDULLAH   m   Arabic, Turkish, Malay, IndonesianVariant transcription of ABD ALLAH, as well as the regular Turkish, Malay and Indonesian form.","[Arabic, Turkish, Malay, Indonesian]"
ABDULLO,m,form of ABD ALLAH.,[Tajik]
ABDUL-RAHMAN,m,ABDUL-RAHMAN   m   ArabicVariant transcription of ABD AL-RAHMAN.,[Arabic]
ABDUR-RAHMAN,m,ABDUR-RAHMAN   m   ArabicVariant transcription of ABD AL-RAHMAN.,[Arabic]
ABDUWELI,m,form of ABD AL-WALI.,[Uyghur]
ABE  (2), (2),Variant of ABBE.,"[Frisian, Dutch]"
ABEGAIL,f,Variant of ABIGAIL.,[English (Rare)]
ABEL,m,"From the Hebrew name הֶבֶל (Hevel) or הָבֶל (Havel) which meant ""breath"". In the Old Testament he is the second son of Adam and Eve, murdered out of envy by his brother Cain. In England, this name came into use during the Middle Ages, and it was common during the Puritan era.","[English, French, Spanish, Portuguese, Georgian, Biblical, Biblical Latin, Biblical Greek]"
ABELONE,f,form of APOLLONIA.,[Danish]
ABENE,f,"Derived from Basque abe meaning ""pillar"". It is a Basque equivalent of Pilar.",[Basque]
ABENNER,m,form of ABNER.,[Biblical Greek]
ABESSA,m,form of ABISHAI.,[Biblical Greek]
ABHA,f,"Means ""splendour, light"" in Sanskrit.","[Indian, Hindi]"
ABHIJEET,m,"ABHIJEET   m   Indian, Hindi, Marathi, BengaliVariant transcription of ABHIJIT.","[Indian, Hindi, Marathi, Bengali]"
ABHILASH,m,"Means ""desire, wish"" in Sanskrit.","[Indian, Malayalam, Hindi]"
ABHINAV,m,"Means ""young, fresh"" in Sanskrit.","[Indian, Hindi, Marathi, Kannada, Telugu]"
ABI,f,Short form of ABIGAIL.,[Scottish]
ABIAH,m,Variant of ABIJAH which also appears in the English Bible.,[Biblical]
ABIDEMI,m,"Means ""born during father's absence"" in Yoruba.","[Western African, Yoruba]"
ABIGAIA,f,form of ABIGAIL.,[Biblical Greek]
ABIGAIL,f,"From the Hebrew name אֲבִיגָיִל ('Avigayil) meaning ""my father is joy"". In the Old Testament this is the name of Nabal's wife. After Nabal's death she became the third wife of King David.... [more]","[English, German, Biblical, Biblical Latin]"
ABIGÉL,f,form of ABIGAIL.,[Hungarian]
ABIJAH,m,"Means ""my father is YAHWEH"" in Hebrew. In the Old Testament this is the name of several characters, both male and female, including the second king of Judah.",[Biblical]
ABÍLIO,m,form of AVILIUS.,[Portuguese]
ABIMAEL,m,"Means ""my father is God"" in Hebrew. In the Old Testament he is listed as a descendant of Shem.",[Biblical]
ABIMELECH,m,"Means ""my father is king"" in Hebrew. This is the name of several characters in the Old Testament including a king of Gerar who takes Abraham's wife Sarah, but is forced by God to give her back.",[Biblical]
ABIOYE,m,"Means ""born into royalty"" in Yoruba.","[Western African, Yoruba]"
ABISAI,m,form of ABISHAI.,[Biblical Latin]
ABISHAI,m,"Means ""my father is a gift"" in Hebrew. In the Old Testament he is one of King David's heroes.",[Biblical]
'ABLA,f,"Means ""full-figured"" in Arabic. The 7th-century Arabic poet Antara dedicated much of his poetry to a woman named Abla.",[Arabic]
ABOLFAZL,m,form of ABU AL-FADL.,[Persian]
ABRAAM,m,"form of ABRAHAM, as well as a Georgian form.","[Biblical Greek, Georgian]"
ÁBRAHÁM,m,form of ABRAHAM.,[Hungarian]
ABRAM  (1), (1),"Means ""high father"" in Hebrew. In the Old Testament God changed Abram's name to Abraham (see Genesis 17:5).","[English, Biblical]"
ABRAMO,m,form of ABRAHAM.,[Italian]
ABU,m,"Means ""father of"" in Arabic. This is commonly used as an element in a kunya, which is a type of Arabic nickname. The element is combined with the name of one of the bearer's children (usually the eldest son). In some cases the kunya is figurative, not referring to an actual child, as in the case of the Muslim caliph Abu Bakr.",[Arabic]
